Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
TWTR,"Twitter Inc",32.25,-0.31,-0.95%,32.81,31.11,19009797,"14:47 ET"
TXN,"Texas Instruments",95.5,-0.61,-0.63%,96.35,93.75,3619731,"14:47 ET"
TXT,"Textron Inc",52.48,-1.97,-3.62%,53.41,51.19,1631741,"14:47 ET"
UA,"Under Armour Inc Class C Comm",22.29,0.32,+1.46%,22.53,21.46,2292789,"14:47 ET"
UAA,"Under Armour",23.78,0.44,+1.89%,24.05,22.71,3421008,"14:47 ET"
UAL,"United Continental Holdings",91.89,-0.049999999999997,-0.05%,92.66,90.17,1959642,"14:47 ET"
UDR,"United Dominion Realty Trust",41.97,0.19,+0.45%,42.09,41.24,1644609,"14:47 ET"
UHS,"Universal Health Services",129.88,-4.71,-3.50%,133.57,127.68,578801,"14:47 ET"
ULTA,"Ulta Salon Cosmetic",289.73,-1.4,-0.48%,292.54,281.78,1099274,"14:47 ET"
UNH,"Unitedhealth Group Inc",270.81,-7.74,-2.78%,274.81,265.25,3851084,"14:47 ET"
UNM,"Unumprovident Corp",31.77,-1.84,-5.47%,32.89,31.43,2281342,"14:47 ET"
UNP,"Union Pacific Corp",148.76,-4.27,-2.79%,151,146.88,3259357,"14:47 ET"
UPS,"United Parcel Service",105.69,-1.08,-1.01%,107.5,105.38,2290175,"14:47 ET"
URI,"United Rentals",103.42,-2.87,-2.70%,106.65,102.09,1492940,"14:47 ET"
USB,"U.S. Bancorp",51.52,-1.08,-2.05%,52.23,51.18,6002779,"14:47 ET"
UTX,"United Technologies Corp",119.86,-1.01,-0.84%,120.66,118.45,6503372,"14:47 ET"
V,"Visa Inc",138.38,-0.25999999999999,-0.19%,139.78,133.48,10730269,"14:47 ET"
VAR,"Varian Medical Systems",119.07,-2.35,-1.94%,120.79,116.92,465524,"14:46 ET"
VFC,"V.F. Corp",78.97,-1.37,-1.71%,79.6,77.35,1110595,"14:47 ET"
VIAB,"Viacom Inc Cl B",29.59,-1.29,-4.18%,30.55,29.57,3360773,"14:47 ET"
VLO,"Valero Energy Corp",77.75,-1.76,-2.21%,78.98,76.83,2853848,"14:47 ET"
VMC,"Vulcan Materials Company",101.61,1.05,+1.04%,103.71,99.6,984190,"14:47 ET"
VNO,"Vornado Realty Trust",70.21,-0.60000000000001,-0.85%,70.41,68.77,693288,"14:46 ET"
VRSK,"Verisk Analytics Inc",116.42,-3.97,-3.30%,121.45,114.59,843039,"14:47 ET"
VRSN,"Verisign Inc",155.18,1.63,+1.06%,156.34,150.64,563494,"14:47 ET"
VRTX,"Vertex Pharmaceutic",176.82,-1.11,-0.62%,179.5,174,1024576,"14:47 ET"
VTR,"Ventas Inc",64.11,0.95,+1.50%,64.36,62.9,2066860,"14:47 ET"
VZ,"Verizon Communications Inc",57.28,-0.81,-1.39%,58.64,57.16,13792399,"14:47 ET"
WAT,"Waters Corp",191.37,-4.08,-2.09%,194.92,190.82,441859,"14:47 ET"
WBA,"Walgreens Boots Alliance",81.97,-0.84999999999999,-1.03%,83.57,80.8,4650729,"14:47 ET"
WCG,"Wellcare Group",240.95,-11.31,-4.48%,250.25,236.51,940038,"14:46 ET"
WDC,"Western Digital Cp",42.77,-0.27,-0.63%,43.6,42.13,4609521,"14:47 ET"
WEC,"Wisconsin Energy Corp",72.94,-0.34,-0.46%,73.74,72.08,950902,"14:47 ET"
WELL,"Welltower Inc",73.24,1.11,+1.54%,73.45,71.92,1518005,"14:47 ET"
WFC,"Wells Fargo & Company",50.21,-1.57,-3.03%,51.14,50.02,23340895,"14:47 ET"
WHR,"Whirlpool Corp",119.65,-1.36,-1.12%,120.79,117.59,474109,"14:47 ET"
WLTW,"Willis Towers Wts",154.39,-2.92,-1.86%,156.23,153.45,459532,"14:46 ET"
WM,"Waste Management",91.48,-1.14,-1.23%,92.34,90.37,1336745,"14:47 ET"
WMB,"Williams Companies",24.09,-0.96,-3.83%,24.71,23.79,8348601,"14:47 ET"
